"FPMTotal","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
3.02,0.01,0.759840072,6.804241209,10,0.01,0.728448842,33.19753008,0.048767684,0.314397534,0.670401321,9.736401085,27.86530843,12.72392428,0.360318094,2.564535364,0.107748577,0.064648843,14.59493677,6.774645652,2.881107572,0.317664079,4.371706191,19.86156401,9.167553269,0.002192139,1.627479014,5.480417484,0.007753182,0.029527297,0.399647078,0.01
1,1,7.9,10,1,1,11.03103448,9.675,26.11810345,9.45862069,10.01982759,20.95603448,18.87068966,20.5612069,16.29568966,17.23826087,11.825,27.875,9.538793103,42.43189655,5.120689655,8.197413793,8.235344828,31.7637931,15.51465517,33.13017241,18.20862069,23.875,23.74655172,34.62586207,10.93793103,1
