"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"AS06",30.801,10.08972432,18.587,2.353,25935.68502,130.8090041,12.83493,809.85754,0.65988,0.81322,0.84154,167.58822,34.71545,36.69598,25.43488,1.57693,0.68243,0.11938,299.53245,8.26679,20.42162,3.0233,1.21422,4.0141,9.51709,0.00534,6.31478,8.81765,0.03939,0.0345,3.08675,70.76460866
"AS12",32.534,7.900685092,17.416,4.286,24317.00333,117.9551375,6.47367,295.02483,0.55051,0.36654,1.2464,37.45877,51.02575,26.97576,14.17202,6.27573,1.21343,0.03935,135.97329,21.19208,5.91877,1.30899,0.43914,5.85164,11.20616,0.00142,5.60218,7.13993,0.04881,0.04072,1.21194,71.99256629
"SA60",33.29,11.0023,9.44,13.7992,17854.183029144,202.85,6.106383943,73.63941733,0.204557191,1.935778461,0.315735264,3.878825681,9.715808198,5.501173059,3.853177233,1.119618577,0.198977405,0.030779699,27.58087785,2.721366258,19.65061313,0.112639341,1.563569438,7.929790906,3.780125907,0.000991421,0.505935623,2.422252029,0.002622312,0.011854369,0.428316286,76.1616
"HE02",33.343,13.98843113,32.838,4.272,46954.47144,169.9329032,8.16868,252.12079,0.64235,1.2207,13.03176,42.79391,60.75032,56.95962,31.17336,0.78543,0.57085,0.31563,394.21746,132.25384,254.42041,3.7049,1.4476,14.24454,12.00659,0.00584,8.76741,10.42187,0.06576,0.07174,3.74186,73.85348927
"HE07",37.092,10.08041945,26.389,3.653,68950.93903,206.5706737,5.90154,360.35048,1.32334,1.04158,1.67992,19.6234,51.76719,64.54211,15.10413,0.40933,0.39284,0.12655,246.15633,13.0449,17.36414,2.80823,0.5026,35.67619,7.71841,0.00357,10.49707,8.21736,0.06973,0.03711,2.73904,73.1495422929901
"HE37",38.693,12.15429098,25.392,3.4,27767.85412,133.2163892,15.95376,1541.24804,1.0371,1.28313,1.67321,27.67491,374.73159,64.29694,36.09632,1.47706,0.53892,0.16417,459.25697,92.52786,36.88749,4.70173,3.07303,35.79552,13.28616,0.00812,14.49308,26.60396,0.06414,0.06921,5.2131,76.90493526
"HE01",38.72,6.867854877,20.279,5.672,64963.38281,127.3237221,1.09685,364.8352,0.34552,0.61904,1.16783,15.53337,25.6494,19.4576,4.92254,0.37747,0.24022,0.03565,93.26804,6.13663,8.43713,1.07343,0.18551,65.6749,8.30743,0.00297,9.88032,4.68287,0.02563,0.02189,0.82387,76.00906705
"SA32",65.49,4.35427,27.97,12.693,53154.3,91.9408403224434,0.780737459,51.54065206,0.253160191,1.906392479,0.79956203,59.05976966,29.81194019,20.6324512,17.07456441,2.4310604,0.678021186,0.070173637,299.4231736,2.083940613,32.05110186,3.479907219,1.197334554,26.12681879,7.998126863,0.00636739,7.412349813,22.88981434,0.021204997,0.060860954,2.795296613,65.9486
"AS28",74.017,4.057246237,13.804,39.198,18659.44452,82.21515562,5.64099,2784.77021,1.42347,3.47986,3.18772,264.8783,225.08039,85.60333,124.74336,7.4281,1.83009,0.31008,1358.87241,28.39741,113.28546,12.01658,7.37701,20.57403,26.97873,0.01734,26.10797,55.1419,0.24593,0.16892,17.11302,72.06592603
"HE42",85.513,5.014120165,15.665,3.4,17230.31928,115.3188811,23.28586,1396.61781,1.18456,1.55758,2.97081,153.04322,112.01324,132.58976,61.56559,23.089,7.12369,0.22556,595.08918,21.53894,90.47964,5.55569,1.72618,19.99448,34.94427,0.00982,12.72267,32.23792,0.12236,0.07289,10.96566,69.57535359
"SH22",21.5039201458915,6.97853,9.06,3.0679,32385.4,119.444,5.663527727,201.6644618,0.688551398,12.62062187,0.863194065,29.54922047,91.71308752,29.5184856,34.51317793,0.892842687,0.443281647,0.163913438,364.1277807,8.701625265,76.26704052,2.769125397,1.246872432,6.323631959,12.25295574,0.005302612,5.695854948,12.98790413,0.053376896,0.051207951,3.517943221,71.6024
"SA20",6.95,1.35057,7.1,3.7548,12678.9,54.2494034157073,2.047239035,339.0898247,0.616602792,1.743381626,1.412034592,63.18031048,50.21112649,41.24747078,14.21700038,1.001758486,0.243966453,2.338609768,199.2017504,6.613888285,45.00293678,1.961675196,1.398975495,20.10342999,19.45899814,0.00589429,5.440484265,7.823831563,0.055701626,0.052113681,2.262395256,63.2657
"SH33",8.31,1.25131,5.64,3.0694,6823.1,58.29842480248,3.362254743,118.8072261,0.204918433,2.829841278,0.25717926,15.82706658,7.91392234,4.480929994,7.253792552,0.91197503,0.175294538,0.025071321,68.13366789,2.216663894,28.5833454,0.589345491,1.273591127,6.459138358,3.079066842,0.000807553,2.737309425,1.973023145,0.006473113,0.009655867,1.077866118,66.179945588388
"SH27",8.53,1.29302,5.83,3.0849,4346.96,80.5398,2.739508355,147.2570576,0.147421793,8.952874072,0.266986943,21.81811641,8.215724464,43.2792059,4.971638992,0.946753739,0.214076882,0.026027431,54.46370014,2.301197686,74.90196747,0.563254951,1.32216028,571.9518238,3.196488883,0.006047846,1.817869139,2.048265553,0.017634426,0.0100241,0.561549937,62.0002
"SA17",8.77,1.72752,8.02,3.4644,8799.46000000001,73.825429645831,0.801940791,157.6265809,0.136110706,10.59166729,0.26824989,26.85019572,18.99244692,15.0030444,14.69281514,0.951232233,1.063534674,0.113937584,134.5475128,2.3120832,119.6713157,1.180168076,1.328414586,80.93179038,8.578463204,0.000842315,2.50483728,13.96694232,0.015853318,0.010071517,1.27061658,65.9411
