"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"SH57",24.03,10.8716,7.5,8.3728,17274,0.185299,0.008228165511,0.3301318479,0.000726054391,0.01166724072,0.000327059487,0.04275828824,0.02883961023,0.01610032708,0.02102452805,0.001159775036,0.000371610509,6.7239307e-05,0.2054117445,0.006373643747,0.1065328544,0.001877373937,0.001619648726,0.02201279448,0.003915704643,2.169677e-06,0.006824608827,0.006636534,1.1218924e-05,3.0894909e-05,0.002969652485,72.0776
"SA03",24.36,10.6462,14.61,4.0326,24136.2,0.186479,0.006085922879,0.1083651487,0.000390964646,0.004827379313,0.000290810394,0.0118274716,0.008948819877,0.005066897762,0.01223402126,0.001031233303,0.000445915389,2.8349879e-05,0.1403236675,0.002506535326,0.02542706767,0.000991867968,0.001440137659,0.007303794912,0.003481714045,3.65057e-06,0.004962197428,0.002231033864,1.1681108e-05,1.0918558e-05,0.000972056504,73.7737
"SH07",24.6,9.91976,11.9,10.8643,14922.3,0.164464,0.006889672264,0.3632452952,0.000569116837,0.01714497598,0.002107093637,0.04988433306,0.0935372917,0.04852944214,0.06445312293,0.003065685697,0.000681590137,0.000246188526,0.7273127427,0.03486525201,0.2148758847,0.005868600944,0.002997246795,0.05427343315,0.02077891131,8.665776e-06,0.009318251946,0.02192034466,3.5156686e-05,7.2438023e-05,0.006909219476,73.1966
"SA43",24.73,5.11849,5.79233913799656,3.2099,16480.5050772875,0.0941917305992861,0.001638198206,0.08795570355,0.000260765667,0.004100874399,0.000254953475,0.0153152759,0.007845430487,0.004442149326,0.009804349085,0.000904082248,0.000408371894,2.4854339e-05,0.0970560176,0.002197479548,0.02555140659,0.000818612895,0.001262568702,0.006403237082,0.003052418742,8.00564e-07,0.006462190066,0.009669785161,1.0222849e-05,9.5723e-06,0.00119712809,70.1072
"HE06",24.763,12.39327161,17.892,3.353,35055.14684,0.1480313779,0.01142449,0.40013336,0.00060319,0.00129821,0.00103856,0.03289558,0.04278258,0.04180358,0.03672472,0.00103793,0.00059777,0.00010366,0.40884335,0.00712085,0.02017887,0.00351143,0.00166175,0.02284158,0.00927767,4.32e-06,0.00611837,0.00944383,3.348e-05,4.198e-05,0.00326277,73.17164322
"HE30",24.8,8.585092655,19.304,3.546,48334.06407,0.1493873745,0.00341492,0.29670147,0.00331537,0.00110914,0.00761466,0.00501768,0.02725621,0.03913492,0.0212784,0.0004262,0.00027454,0.00010427,0.3667581,0.055572,0.03162933,0.00337813,0.00096458,0.00580588,0.00291178,3.64e-06,0.00845969,0.00463776,7.474e-05,4.315e-05,0.00456257,67.95341187
"SH14",24.85,5.15577,9.81,3.0067,12362.1,0.108037,0.004788841607,0.6159769217,0.000444112346,0.01825001846,0.000802665146,0.06874674919,0.0686188175,0.04353269254,0.03353717537,0.000818689034,0.000903583479,0.000176500765,0.3452875423,0.006477756316,0.146403916,0.002860692326,0.001143315393,0.02763460894,0.01947385578,6.411364e-06,0.006652423559,0.01750302627,2.9794785e-05,3.7761782e-05,0.003494072317,73.4146
"HE19",24.995,4.391602882,27.225,3.734,43228.89859,0.09674484945,0.00738767,0.60293619,0.0007899,0.00259567,0.0166643,0.03935248,0.0326545,0.0368362,0.02340549,0.00053297,0.00031842,0.0001589,0.23580439,0.17036406,0.32550747,0.00229994,0.00116068,0.02642404,0.01251537,4.97e-06,0.0045129,0.01046926,8.25e-05,4.626e-05,0.00285013,81.93958102
"HE16",25.027,10.51811195,26.778,2.695,20566.80351,0.1774962179,0.00847324,0.71396589,0.00085889,0.0010791,0.00089726,0.03034924,0.18178067,0.04356948,0.03799945,0.00097093,0.00039581,0.00020108,0.54260739,0.0351181,0.02572796,0.00551248,0.00188745,0.02901805,0.01427546,5.73e-06,0.01089749,0.0130443,2.977e-05,6.085e-05,0.00449463,74.34964727
"AS34",25.063,15.89407102,10.951,2.202,23203.16096,0.1931109643,0.00451848,0.19980724,0.00046353,0.00076782,0.0008298,0.01930675,0.14382402,0.01824251,0.01311247,0.00355192,0.00036069,8.567e-05,0.20121971,0.0060927,0.01438776,0.00193862,0.00079252,0.00500617,0.00447911,3.31e-06,0.00531908,0.0089472,4.25e-05,5.076e-05,0.00220547,69.2380902
