"Commute.ID","FPM.Total","BC","OC","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb"
"SA08",27.53,7.57355,7.79,0.007192316455,0.325975133,0.00062966265,0.004113317359,0.000902910992,0.03980562012,0.07354974809,0.03844892808,0.04948470272,0.000894729673,0.000414037165,0.000207346728,0.4732744608,0.009123167735,0.05898149999,0.004105983453,0.001249507646,0.03084825843,0.01254145351,6.07869e-06,0.007433904689,0.02512408528,2.6100399e-05,4.9828521e-05,0.005349673364
"SA15",28.45,3.10134,21.99,0.002390752927,0.1925865307,0.000166113883,0.007981918538,0.001173692712,0.1687968853,0.2694365533,0.0557453067,0.02239156178,0.000868969887,0.00078938108,0.000165637623,0.1994098421,0.02338844884,0.09922290514,0.001977163924,0.001213533597,0.5062820221,0.01865353804,3.42161e-06,0.00809276498,0.02980287494,2.9607348e-05,2.8702127e-05,0.002230378212
"SH55",30.63,9.50201,10,0.007416629642,0.231759815,0.000551726654,0.007281669943,0.0002967453,0.0193639167,0.009131448855,0.005170303839,0.01407122514,0.001052278881,0.000309915132,2.8928448e-05,0.1432374872,0.002557689108,0.07395659353,0.001228948035,0.001469528223,0.007452851952,0.003552769434,9.31792e-07,0.004629286765,0.01147062818,1.3290518e-05,1.1141385e-05,0.004350828969
"SA60",33.29,11.0023,9.44,0.006106383943,0.07363941733,0.000204557191,0.001935778461,0.000315735264,0.003878825681,0.009715808198,0.005501173059,0.003853177233,0.001119618577,0.000198977405,3.0779699e-05,0.02758087785,0.002721366258,0.01965061313,0.000112639341,0.001563569438,0.007929790906,0.003780125907,9.91421e-07,0.000505935623,0.002422252029,2.622312e-06,1.1854369e-05,0.000428316286
"SA32",65.49,4.35427,27.97,0.000780737459,0.05154065206,0.000253160191,0.001906392479,0.00079956203,0.05905976966,0.02981194019,0.0206324512,0.01707456441,0.0024310604,0.000678021186,7.0173637e-05,0.2994231736,0.002083940613,0.03205110186,0.003479907219,0.001197334554,0.02612681879,0.007998126863,6.36739e-06,0.007412349813,0.02288981434,2.1204997e-05,6.0860954e-05,0.002795296613
"SH22",21.5039201458915,6.97853,9.06,0.005663527727,0.2016644618,0.000688551398,0.01262062187,0.000863194065,0.02954922047,0.09171308752,0.0295184856,0.03451317793,0.000892842687,0.000443281647,0.000163913438,0.3641277807,0.008701625265,0.07626704052,0.002769125397,0.001246872432,0.006323631959,0.01225295574,5.302612e-06,0.005695854948,0.01298790413,5.3376896e-05,5.1207951e-05,0.003517943221
"SA20",6.95,1.35057,7.1,0.002047239035,0.3390898247,0.000616602792,0.001743381626,0.001412034592,0.06318031048,0.05021112649,0.04124747078,0.01421700038,0.001001758486,0.000243966453,0.002338609768,0.1992017504,0.006613888285,0.04500293678,0.001961675196,0.001398975495,0.02010342999,0.01945899814,5.89429e-06,0.005440484265,0.007823831563,5.5701626e-05,5.2113681e-05,0.002262395256
"SH33",8.31,1.25131,5.64,0.003362254743,0.1188072261,0.000204918433,0.002829841278,0.00025717926,0.01582706658,0.00791392234,0.004480929994,0.007253792552,0.00091197503,0.000175294538,2.5071321e-05,0.06813366789,0.002216663894,0.0285833454,0.000589345491,0.001273591127,0.006459138358,0.003079066842,8.07553e-07,0.002737309425,0.001973023145,6.473113e-06,9.655867e-06,0.001077866118
"SH27",8.53,1.29302,5.83,0.002739508355,0.1472570576,0.000147421793,0.008952874072,0.000266986943,0.02181811641,0.008215724464,0.0432792059,0.004971638992,0.000946753739,0.000214076882,2.6027431e-05,0.05446370014,0.002301197686,0.07490196747,0.000563254951,0.00132216028,0.5719518238,0.003196488883,6.047846e-06,0.001817869139,0.002048265553,1.7634426e-05,1.00241e-05,0.000561549937
"SA17",8.77,1.72752,8.02,0.000801940791,0.1576265809,0.000136110706,0.01059166729,0.00026824989,0.02685019572,0.01899244692,0.0150030444,0.01469281514,0.000951232233,0.001063534674,0.000113937584,0.1345475128,0.0023120832,0.1196713157,0.001180168076,0.001328414586,0.08093179038,0.008578463204,8.42315e-07,0.00250483728,0.01396694232,1.5853318e-05,1.0071517e-05,0.00127061658
"SH31",8.79,1.37846,4.5,0.002972786041,0.4967719235,0.000172153427,0.002237815396,0.000677692285,0.03191938626,0.05041988012,0.02411293785,0.1011538596,0.002069334292,0.000308604312,5.9677763e-05,0.2684049364,0.01188310775,0.1093663504,0.002395479625,0.001273591127,0.02323751124,0.008511568236,6.251271e-06,0.002396492287,0.01278934036,1.9228234e-05,2.7451428e-05,0.004079335191
"SH38",9.3,2.00141,5.48,0.001519021341,0.06696098545,0.000302053233,0.004714034129,0.00026358586,0.01398946903,0.008111066313,0.004592554585,0.006594487467,0.002198706633,0.000132889564,2.5695874e-05,0.1165258752,0.002271883279,0.04965035484,0.000740333233,0.001305317596,0.03909162183,0.003155769575,8.2767e-07,0.002073499472,0.002022173188,2.18919e-06,9.896405e-06,0.000824019242
"SH49",9.7,1.82778,5.59,0.002441737966,0.1524472235,0.000331345333,0.002118790316,0.00829300322,0.01429750044,0.06976770363,0.004179989693,0.006158973843,0.000850726575,0.000228989534,7.5848645e-05,0.07603966243,0.004702898028,0.0280713132,0.000723535601,0.00118805645,0.03208999672,0.002872275997,7.53318e-07,0.005189744054,0.001840514451,1.992527e-06,9.007377e-06,0.000660525573
"SH13",12.47,1.94922,8.51,0.004050038568,0.2152182961,0.000166339803,0.01504926156,0.000247849767,0.05029583711,0.05760228976,0.02856030694,0.01401966889,0.00087889202,0.000276565368,0.000195583461,0.1460823669,0.002136251698,0.1454613881,0.001413902377,0.00122739005,0.02232788138,0.01135642372,4.334989e-06,0.004100165516,0.009741226115,2.3917785e-05,2.0892954e-05,0.001555468868
