"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"SA20",0.819729106357382,0.536142516176272,1.74405712689148,0.966724211151094,1.29331437302755,1.8054205494855,0.765440898937733,1.44048216267777,1.87618652240761,0.229050858750221,1.25808379803103,1.92144211201283,1.20598490543958,2.05519789039941,0.659978391296845,1.57170394791377,1.15657649423021,7.03914693663627,1.02064815911165,1.00810891062296,0.594031110684202,1.1702757989214,2.46119050648864,0.148020718876408,2.51800192722965,1.72597688433926,1.80656795350725,0.892597941062324,2.09642818317643,1.95733324964792,0.767979799099163,19.5685192760883
"SH33",0.980136528608611,0.496738778379892,1.38542002755886,0.790258680544148,0.695992026012055,1.94017201137659,1.25711128448641,0.504703112650714,0.623521669339906,0.371793281049942,0.229139613171467,0.481333377525416,0.190078804281793,0.223266971199639,0.336733924970887,1.43083864532372,0.831022215245899,0.0754639422230338,0.349095841606887,0.33787063329534,0.377295297372195,0.35158560740692,2.2406042151014,0.0475583670820813,0.398432446852832,0.236469160981021,0.908951344249197,0.225096409951344,0.243626936960255,0.362663875792579,0.365886289127471,20.4699156246884
"SH27",1.00608478809043,0.513296605334224,1.43209197884188,0.794249365873019,0.443412744557952,2.68036514350591,1.02427303409571,0.625560395358019,0.448572054366832,1.17625622749003,0.237877987676193,0.663533422936292,0.197327572262453,2.15643119400597,0.230792306136861,1.48540452622472,1.01487842543374,0.0783418053319967,0.279055154759824,0.350755530241245,0.988693230091818,0.336020784236882,2.32605098575538,4.21125749007315,0.41362690462553,1.77094143587161,0.603641876388593,0.233680595068389,0.663702486181267,0.376494307277886,0.190620541064911,19.177091359478
"SA17",1.03439198025241,0.685782239754202,1.9700476278408,0.891956790537938,0.897591123274179,2.45691084814009,0.299837131601917,0.669611004550839,0.414154907285247,1.39156593839835,0.239003238549984,0.816569218799992,0.456165911900902,0.747542203615536,0.682066556976425,1.49243103690457,5.04191945089758,0.34294879220796,0.689379842178189,0.352414733298091,1.57964101164846,0.704052404199554,2.3370540652281,0.595897406460556,1.11005647489828,0.246648234025171,0.831756611798281,1.59344738666484,0.596667369316259,0.378275238290964,0.431316262378366,20.3960390296237
"SH31",1.03675091293257,0.547214148728569,1.1053883198608,0.844737971872467,0.853727845423136,2.35709997598901,1.1114930795429,2.11032901194831,0.523824970814732,0.294011093459961,0.603805097013606,0.970733642864612,1.2109988086187,1.20145206635751,4.69574169992918,3.24667164964725,1.46300644571525,0.179628319506256,1.37522388072921,1.81125932166659,1.44361722252006,1.42907033624276,2.2406042151014,0.171096828767747,1.10140024002256,1.83050872009019,0.795779558517204,1.45909824118248,0.72368823973489,1.03104581644724,1.3847478738005,20.6648267495244
"SH38",1.09690369627679,0.79450972056269,1.34611733174159,0.80284864909781,1.27000617324391,2.73794954038557,0.567945921742666,0.284455911413407,0.919081477017129,0.619344353136654,0.234847716716614,0.425448287840406,0.194813863466011,0.22882878189013,0.306127812729078,3.44964973462705,0.629992132774506,0.0773438284686458,0.597042544922104,0.346287339423243,0.655376238569779,0.441660305173751,2.29641997784084,0.287829985639246,0.408357810333944,0.242359858076389,0.688526519932762,0.230703793856743,0.0823939971577849,0.371698221787133,0.27971687539863,20.484253365315
"SH49",1.14408234988009,0.725582952543494,1.37313793511597,0.777694458347447,0.803210765069307,2.96486927113974,0.912939852998373,0.64760865766404,1.00821088730533,0.278373211093743,7.38883668092259,0.434816151317177,1.67570025503648,0.208272309465101,0.28591049731283,1.33474318931066,1.08557512392546,0.228302200908177,0.389603712431288,0.716829980108734,0.370536559426736,0.431639348468547,2.09012471366598,0.236277311165247,0.371673631085585,0.220587968110949,1.72330712454716,0.209978882626675,0.07499224095433,0.338307295817655,0.224218246350672,19.7499587196945
"SH13",1.47079452608296,0.773791595682647,2.09041213378119,0.75001712461496,0.568494643116784,2.34379444422657,1.51426634077559,0.914265466055293,0.50613539312118,1.97721843139047,0.220827292741328,1.5295989960778,1.38350793589847,1.42304683080613,0.650817913288726,1.37893322285658,1.31111880266148,0.588700491716611,0.748480867039397,0.325613962511498,1.92006558054474,0.843491184072932,2.15932355471217,0.164399261941806,1.46952564606168,1.26937948554702,1.36150152532076,1.11134784838562,0.90018769924516,0.784716657178074,0.528010596549643,21.5406911758107
"SA36",1.49202492020444,0.414866655841857,0.0319334403515341,0.810649795256827,0.458349373417114,3.0718411990657,0.561282947456642,0.954629173923839,0.223690523226642,1.47780879314192,0.552864463116194,1.1412827358021,1.01860923850344,1.08385672221969,0.211458615604125,1.38849123724449,1.00195508689592,0.0732304957862639,0.362090940114793,0.890886110719511,1.25614895316023,0.481207242615314,2.17429081069903,0.194386304823982,0.89148554428024,0.229470718838591,0.796618328810252,0.789695459484213,0.470932960656018,0.351930402099085,0.194477767070675,20.2013485059328
"SH19",1.49792225190486,1.22093826653575,1.48613318559063,0.85055664854553,1.34168526290677,2.30038400251714,1.20812593926222,2.17760981774825,1.49805837142065,0.218136974419011,0.725141921561912,2.87483817613621,2.14923335158339,3.15997121307024,1.2874456968809,1.46808164623565,1.33792729584982,0.926471959700919,2.07520579848976,1.61991593632398,0.570413353043673,2.61792446467319,2.29892443522458,0.243627499847315,2.96030370790799,2.12987191429314,3.66328119499018,1.82979687931113,1.22609673930487,2.94304819900485,1.03816773164304,20.1844112299045
"SH48",1.52504997772676,0.603350382476162,1.41980988639898,1.85494777992977,1.76553748059159,2.47610244181934,0.438241487131812,0.701340838755866,0.729194232217792,0.928384886006854,0.222455848557528,0.469798560116353,0.824058032056507,0.216754505885153,0.444732304874352,1.38910257038022,0.7435265690043,0.0732627385926598,0.413612301772918,0.328015298377312,0.995120999462208,0.420788000876157,2.17524811974162,0.616796514120853,0.854665736731648,0.229571742375793,0.908661714091881,0.218530581795642,0.0780464255958445,0.3520853701772,4.0308480987911,20.9822065877179
